001	生物与资源环境学院	https://swkgxy.bua.edu.cn/	200	北京农学院生物与资源环境学院	29017
002	植物科学技术学院	https://zkxy.bua.edu.cn/	200	植物科学技术学院	35248
003	动物科学技术学院、动物医学院	https://dkxy.bua.edu.cn/	200	欢迎访问北京农学院动物科学技术学院	22025
004	经济管理学院	https://jgxy.bua.edu.cn/	200	(未解析到title)	31793
005	园林学院	https://ylxy.bua.edu.cn/	200	欢迎访问北京农学院园林学院	41890
006	食品科学与工程学院	https://spkxxy.bua.edu.cn/	200	食品科学与工程学院	27695
007	智能科学与工程学院	https://jsjxy.bua.edu.cn/	200	欢迎访问北京农学院智能科学与工程学院	50780
008	文法与城乡发展学院	https://wfxy.bua.edu.cn/	200	北京农学院文法与城乡发展学院	898931
009	国际学院	https://gjxy.bua.edu.cn/	200	(未解析到title)	22436
010	马克思主义学院	https://marx.bua.edu.cn/	200	(未解析到title)	26191
011	乡村振兴学院、继续教育学院	https://jxjyxy.bua.edu.cn/	200	(未解析到title)	42732
012	基础教学部、体育教学部、外语教学部	https://jcjxb.bua.edu.cn/	200	(未解析到title)	27340
